"measure_id","plot_id","year","tree_id","code_status","code_diam","dbh","h_tot","crown_h1","crown_h2","crown_h3","crown_h4","crown_r1","crown_r2","crown_r3","crown_r4","stratum"
"01Aillon1","Aillon",2001,"1Aillon","0000",1,17,14.5,NA,NA,NA,NA,NA,NA,NA,NA,3
"01Aillon2","Aillon",2001,"2Aillon","0000",1,40,25.2,NA,NA,NA,NA,NA,NA,NA,NA,2
"01Aillon3","Aillon",2001,"3Aillon","0000",1,33,19.9,NA,NA,NA,NA,NA,NA,NA,NA,2
"01Aillon4","Aillon",2001,"4Aillon","0000",1,14,7.8,NA,NA,NA,NA,NA,NA,NA,NA,4
"01Aillon5","Aillon",2001,"5Aillon","0000",1,16,13,NA,NA,NA,NA,NA,NA,NA,NA,3
"01Aillon6","Aillon",2001,"6Aillon","0000",1,10,6.9,NA,NA,NA,NA,NA,NA,NA,NA,4
"01Aillon7","Aillon",2001,"7Aillon","0000",1,23,19.6,NA,NA,NA,NA,NA,NA,NA,NA,2
"01Aillon8","Aillon",2001,"8Aillon","0000",1,15,8.4,NA,NA,NA,NA,NA,NA,NA,NA,4
"01Aillon9","Aillon",2001,"9Aillon","0000",1,44,18.1,NA,NA,NA,NA,NA,NA,NA,NA,2
"01Aillon10","Aillon",2001,"10Aillon","0000",1,12,7.5,NA,NA,NA,NA,NA,NA,NA,NA,4
"01Aillon11","Aillon",2001,"11Aillon","0000",1,42,24.5,NA,NA,NA,NA,NA,NA,NA,NA,2
"01Aillon12","Aillon",2001,"12Aillon","0000",1,24,15,NA,NA,NA,NA,NA,NA,NA,NA,3
"01Aillon13","Aillon",2001,"13Aillon","0000",1,53,25.1,NA,NA,NA,NA,NA,NA,NA,NA,2
"01Aillon14","Aillon",2001,"14Aillon","0000",1,12,8.7,NA,NA,NA,NA,NA,NA,NA,NA,3
"01Aillon15","Aillon",2001,"15Aillon","0000",1,12,6.4,NA,NA,NA,NA,NA,NA,NA,NA,4
"01Aillon16","Aillon",2001,"16Aillon","0000",1,18,9.7,NA,NA,NA,NA,NA,NA,NA,NA,3
"01Aillon17","Aillon",2001,"17Aillon","0000",1,10,8.4,NA,NA,NA,NA,NA,NA,NA,NA,4
"01Aillon18","Aillon",2001,"18Aillon","0000",1,11,6.6,NA,NA,NA,NA,NA,NA,NA,NA,4
"01Aillon19","Aillon",2001,"19Aillon","0000",1,29,17.4,NA,NA,NA,NA,NA,NA,NA,NA,3
"01Aillon20","Aillon",2001,"20Aillon","0000",1,24,19.7,NA,NA,NA,NA,NA,NA,NA,NA,2
"01Aillon21","Aillon",2001,"21Aillon","0000",1,25,15.3,NA,NA,NA,NA,NA,NA,NA,NA,3
"01Aillon22","Aillon",2001,"22Aillon","0000",1,13,4.5,NA,NA,NA,NA,NA,NA,NA,NA,4
"01Aillon23","Aillon",2001,"23Aillon","0000",1,30,20,NA,NA,NA,NA,NA,NA,NA,NA,2
"01Aillon24","Aillon",2001,"24Aillon","0000",1,30,19.8,NA,NA,NA,NA,NA,NA,NA,NA,2
"01Aillon25","Aillon",2001,"25Aillon","0000",1,11,10.7,NA,NA,NA,NA,NA,NA,NA,NA,3
"01Aillon26","Aillon",2001,"26Aillon","0000",1,11,5,NA,NA,NA,NA,NA,NA,NA,NA,4
"01Aillon27","Aillon",2001,"27Aillon","0000",1,15,8.3,NA,NA,NA,NA,NA,NA,NA,NA,3
"01Aillon28","Aillon",2001,"28Aillon","0000",1,82,34.6,NA,NA,NA,NA,NA,NA,NA,NA,1
"01Aillon29","Aillon",2001,"29Aillon","0000",1,10,12,NA,NA,NA,NA,NA,NA,NA,NA,3
"01Aillon30","Aillon",2001,"30Aillon","0000",1,25,18.2,NA,NA,NA,NA,NA,NA,NA,NA,2
"01Aillon31","Aillon",2001,"31Aillon","0000",1,24,22.1,NA,NA,NA,NA,NA,NA,NA,NA,2
"01Aillon32","Aillon",2001,"32Aillon","0000",1,53,26.1,NA,NA,NA,NA,NA,NA,NA,NA,2
"01Aillon33","Aillon",2001,"33Aillon","0000",1,8,6,NA,NA,NA,NA,NA,NA,NA,NA,4
"01Aillon34","Aillon",2001,"34Aillon","0000",1,8,5.5,NA,NA,NA,NA,NA,NA,NA,NA,4
"01Aillon35","Aillon",2001,"35Aillon","0000",1,11,9,NA,NA,NA,NA,NA,NA,NA,NA,3
"01Aillon36","Aillon",2001,"36Aillon","0000",1,27,15.5,NA,NA,NA,NA,NA,NA,NA,NA,3
"01Aillon37","Aillon",2001,"37Aillon","0000",1,18,10.7,NA,NA,NA,NA,NA,NA,NA,NA,3
"01Aillon38","Aillon",2001,"38Aillon","0000",1,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"01Aillon39","Aillon",2001,"39Aillon","0000",1,54,19.7,NA,NA,NA,NA,NA,NA,NA,NA,2
"01Aillon40","Aillon",2001,"40Aillon","0000",1,11,9.1,NA,NA,NA,NA,NA,NA,NA,NA,3
"01Aillon41","Aillon",2001,"41Aillon","0000",1,9,5.6,NA,NA,NA,NA,NA,NA,NA,NA,4
"01Aillon42","Aillon",2001,"42Aillon","0000",1,22,18,NA,NA,NA,NA,NA,NA,NA,NA,3
"01Aillon43","Aillon",2001,"43Aillon","0000",1,12,8.9,NA,NA,NA,NA,NA,NA,NA,NA,4
"01Aillon44","Aillon",2001,"44Aillon","0000",1,18,11.8,NA,NA,NA,NA,NA,NA,NA,NA,3
"01Aillon45","Aillon",2001,"45Aillon","0000",1,52,27.1,NA,NA,NA,NA,NA,NA,NA,NA,1
"01Aillon46","Aillon",2001,"46Aillon","0000",1,8,4,NA,NA,NA,NA,NA,NA,NA,NA,4
"01Aillon47","Aillon",2001,"47Aillon","0000",1,30,19.2,NA,NA,NA,NA,NA,NA,NA,NA,2
"01Aillon48","Aillon",2001,"48Aillon","0000",1,43,23.9,NA,NA,NA,NA,NA,NA,NA,NA,2
"01Aillon49","Aillon",2001,"49Aillon","0000",1,32,21.1,NA,NA,NA,NA,NA,NA,NA,NA,2
"01Aillon50","Aillon",2001,"50Aillon","0000",1,51,30.3,NA,NA,NA,NA,NA,NA,NA,NA,1
"01Aillon51","Aillon",2001,"51Aillon","0000",1,10,6.8,NA,NA,NA,NA,NA,NA,NA,NA,4
"01Aillon52","Aillon",2001,"52Aillon","0000",1,28,15.7,NA,NA,NA,NA,NA,NA,NA,NA,3
"01Aillon53","Aillon",2001,"53Aillon","0000",1,19,14.1,NA,NA,NA,NA,NA,NA,NA,NA,3
"01Aillon54","Aillon",2001,"54Aillon","0000",1,14,9.7,NA,NA,NA,NA,NA,NA,NA,NA,3
"01Aillon55","Aillon",2001,"55Aillon","0000",1,13,7.4,NA,NA,NA,NA,NA,NA,NA,NA,4
"01Aillon56","Aillon",2001,"56Aillon","0000",1,18,11.3,NA,NA,NA,NA,NA,NA,NA,NA,3
"01Aillon57","Aillon",2001,"57Aillon","0000",1,33,21,NA,NA,NA,NA,NA,NA,NA,NA,2
"01Aillon58","Aillon",2001,"58Aillon","0000",1,8,5.8,NA,NA,NA,NA,NA,NA,NA,NA,4
"01Aillon59","Aillon",2001,"59Aillon","0000",1,55,30.5,NA,NA,NA,NA,NA,NA,NA,NA,1
"01Aillon60","Aillon",2001,"60Aillon","0000",1,61,33.8,NA,NA,NA,NA,NA,NA,NA,NA,1
"01Aillon61","Aillon",2001,"61Aillon","0000",1,65,32,NA,NA,NA,NA,NA,NA,NA,NA,1
"01Aillon62","Aillon",2001,"62Aillon","0000",1,27,24.1,NA,NA,NA,NA,NA,NA,NA,NA,2
"01Aillon63","Aillon",2001,"63Aillon","0000",1,14,8.7,NA,NA,NA,NA,NA,NA,NA,NA,4
"01Aillon64","Aillon",2001,"64Aillon","0000",1,61,35.1,NA,NA,NA,NA,NA,NA,NA,NA,1
"01Aillon65","Aillon",2001,"65Aillon","0000",1,43,28.3,NA,NA,NA,NA,NA,NA,NA,NA,1
"01Aillon66","Aillon",2001,"66Aillon","0000",1,52,30.1,NA,NA,NA,NA,NA,NA,NA,NA,1
"01Aillon67","Aillon",2001,"67Aillon","0000",1,26,17.4,NA,NA,NA,NA,NA,NA,NA,NA,3
"01Aillon68","Aillon",2001,"68Aillon","0000",1,55,30.7,NA,NA,NA,NA,NA,NA,NA,NA,1
"01Aillon69","Aillon",2001,"69Aillon","0000",1,62,35.2,NA,NA,NA,NA,NA,NA,NA,NA,1
"01Aillon70","Aillon",2001,"70Aillon","0000",1,39,24.2,NA,NA,NA,NA,NA,NA,NA,NA,2
"01Aillon71","Aillon",2001,"71Aillon","0000",1,15,9.9,NA,NA,NA,NA,NA,NA,NA,NA,3
"01Aillon72","Aillon",2001,"72Aillon","0000",1,44,29.1,NA,NA,NA,NA,NA,NA,NA,NA,1
"01Aillon73","Aillon",2001,"73Aillon","0000",1,23,17.6,NA,NA,NA,NA,NA,NA,NA,NA,3
"01Aillon74","Aillon",2001,"74Aillon","0000",1,37,21,NA,NA,NA,NA,NA,NA,NA,NA,2
"01Aillon75","Aillon",2001,"75Aillon","0000",1,30,15.3,NA,NA,NA,NA,NA,NA,NA,NA,3
"01Aillon76","Aillon",2001,"76Aillon","0000",1,56,29.7,NA,NA,NA,NA,NA,NA,NA,NA,1
"01Aillon77","Aillon",2001,"77Aillon","0000",1,42,27.7,NA,NA,NA,NA,NA,NA,NA,NA,1
"01Aillon78","Aillon",2001,"78Aillon","0000",1,45,28.2,NA,NA,NA,NA,NA,NA,NA,NA,1
"01Aillon79","Aillon",2001,"79Aillon","0000",1,20,12.1,NA,NA,NA,NA,NA,NA,NA,NA,3
"01Aillon80","Aillon",2001,"80Aillon","0000",1,17,7.8,NA,NA,NA,NA,NA,NA,NA,NA,4
"01Aillon81","Aillon",2001,"81Aillon","0000",1,29,15.4,NA,NA,NA,NA,NA,NA,NA,NA,3
