"plot_id","owner_id","management","year_first_mes","N_census","area","x_min","x_max","y_min","y_max","elevation","GPS_loc","x_lamb93","y_lamb93","x0_z","y0_z","lat","long","slope","aspect","MAT","MAP","geol"
"Aillon","ONF","MAN",2001,3,1,NA,NA,NA,NA,1200,"GPS",943898.52,6508283.24,NA,NA,45.6305552579491,6.13123531491761,11.6152574061036,184.184916125118,6.4,1215,"moraine"
"Allinge","ONF","MAN",2000,2,1,NA,NA,NA,NA,1045,"MAP",966804.182,6581760.176,NA,NA,46.2830159141375,6.46633114081562,14.0793069137538,23.4985656759521,6.3,1284,"moraine"
"Araches","ONF","MAN",2000,3,0.5,NA,NA,NA,NA,1446,"MAP",981616.063,6557991.553,NA,NA,46.0631965075446,6.64425905525765,5.31353002985386,233.746162262555,5.1,1368,"moraine"
"aulp_du_seuil3","ONF","UNM",1994,2,0.25,0,50,0,50,1469,"GPS",926329.88,6480495.46,NA,NA,45.3865502174164,5.89283113820453,11.0660029661175,32.4711922908488,4.6,1323,"limestone"
"aulp_du_seuil4","ONF","UNM",1994,2,0.25,0,50,0,50,1527,"GPS",925884.61,6480117.95,NA,NA,45.3832999051567,5.88696866910512,6.37937020844285,63.4349488229208,4.5,1336,"limestone"
"aulp_du_seuil5","ONF","UNM",1994,2,0.25,0,50,0,50,1530,"GPS",926045.21,6480099.18,NA,NA,45.3830781243836,5.88901064950384,4.86682100115946,3.36646066342973,4.5,1336,"limestone"
"aulp_du_seuil7","ONF","UNM",1994,2,0.25,0,50,0,50,1499,"GPS",925953.24,6480434.8,NA,NA,45.3861284855803,5.88799307232432,9.66440874257837,93.3664606634303,5.5,1249,"limestone"
"Baudille","ONF","MAN",2001,2,1,NA,NA,NA,NA,1498,"GPS",921870.62,6412061.81,NA,NA,44.7722299295918,5.8048276962397,37.7901115590662,321.282492088162,5.1,1153,"limestone"
"Beaufort","ONF","MAN",2000,2,1,NA,NA,NA,NA,1216,"GPS",976693.38,6521225.59,NA,NA,45.7344877528523,6.55921385787825,9.83445533999301,236.768288932021,6.2,1206,"schist"
"Brevon","ONF","MAN",1999,3,0.25,NA,NA,NA,NA,800,"MAP",971888.817,6583073.181,NA,NA,46.2927989854675,6.53306639649323,5.49363449478016,81.0273733851037,7.7,1099,"clay"
"Chapitre1","IRSTEA","UNM",1994,4,0.25,0,50,0,50,1554,"GPS",938231.95,6396751.56,40,30,44.6290699677316,6.00411006862214,30.3358411525811,271.468800714386,4.6,1170,"conglomerate"
"Chapitre3","IRSTEA","UNM",1994,4,0.25,0,50,0,50,1517,"GPS",937920.67,6396775.3,10,20,44.6293900550773,6.0001999690437,24.3516776860953,45.8951737102108,4.6,1170,"marl"
"Chapitre4","IRSTEA","UNM",1994,4,0.25,0,50,0,50,1490,"GPS",938262.42,6397389.67,40,20,44.6348000500677,6.00479997821604,32.4869278663756,316.909152432997,6.1,1056,"conglomerate"
"Chartreuse","ONF","MAN",2001,2,1,NA,NA,NA,NA,1207,"GPS",918171.42,6478334.76,NA,NA,45.369748624583,5.78766762919309,14.6667567527351,263.418055344822,6.3,1186,"limestone"
"Chornais1","IRSTEA","MAN",1995,3,0.25,0,50,0,50,1461,"GPS",976504.73,6513876.07,0,0,45.6684499804037,6.55253996674567,34.3491137886812,286.578790775473,5.6,1256,"sandstone"
"Chornais2","IRSTEA","MAN",1995,3,0.25,0,50,0,50,1413,"GPS",976433.49,6513900.66,0,0,45.6687000332051,6.5516401082277,28.1644651112897,281.30993247402,5.6,1256,"sandstone"
"Chornais3","IRSTEA","MAN",1995,2,0.25,0,50,0,50,1544,"MAP",976621.93,6513883.64,0,0,45.6684706027409,6.5540480976262,31.2767430541143,290.224859431168,5.6,1256,"sandstone"
"Chornais4","IRSTEA","MAN",1995,3,0.25,0,50,0,50,1544,"GPS",976630.61,6513867.29,0,0,45.6683200060017,6.5541500192144,31.2767430541143,290.224859431168,5.6,1256,"sandstone"
"Corruaz1","IRSTEA","MAN",1994,2,0.25,0,50,0,50,1179,"GPS",1001331.57,6546556.45,25,25,45.9518728173043,6.89170064290796,37.8465400407101,148.150948680945,6.9,1084,"boulder"
