"code_species","Latin.name"
"ABAL","Abies alba"
"ACOP","Acer opalus"
"ACPL","Acer platanoïdes"
"ACPS","Acer pseudoplatanus"
"ALIN","Alnus incana"
"ALVI","Alnus viridis"
"BEPE","Betula pendula"
"BEPU","Betula pubescens"
"BESP","Betula species"
"CABE","Carpinus betulus"
"CASA","Castanea sativa"
"COAV","Coryllus avellana"
"FASY","Fagus sylvatica"
"FREX","Fraxinus excelsior"
"LAAN","Laburnum anagyroïdes"
"LADE","Larix decidua"
"ND","indetermined species"
"PIAB","Picea abies"
"PICE","Pinus cembra"
"PINI","Pinus nigra"
"PIUN","Pinus uncinata"
"POTR","Populus tremula"
"PRAV","Prunus avium"
"QUPE","Quercus petraea"
"QURO","Quercus robur"
"QUSP","Quercus species"
"SAAL","Salix alba"
"SAAP","Salix appendiculata"
"SACA","Salix caprea"
"SASP","Salix species"
"SOAR","Sorbus aria"
"SOAU","Sorbus aucuparia"
"TABA","Taxus baccata"
"TICO","Tilia cordata"
"TIPL","Tilia platyphyllos"
"ULGL","Ulmus glabra"
"ULMI","Ulmus minor"
"ULSP","Ulmus species"
